あ|アルファベットのa
い|アルファベットのi
う|アルファベットのu
え|アルファベットのe
お|アルファベットのo
か|アルファベットのk
き|きつね
く|数字の9
け|毛が4本生えている様子
こ|カタカナのコ
さ|アルファベットのs
し|数字の7
す|カタカナの「ス」
せ|「背(せ)」の高い指
そ|「そ」れ、と指さす様子
た|アルファベットのt
ち|1000＝千(ち)。折りたたんだ3つの指が3つのゼロを表す。
つ|カタカナのツ
て|手
と|カタカナのト　トントンのノックする様子
な|アルファベットのN
に|数字の二
ぬ|盗むカギ爪
ね|根っこ
の|カタカナのノ
は|アルファベットのh、はさみ
ひ|人差し指
ふ|カタカナのフ
へ|カタカナのヘ
ほ|帆
ま|アルファベットのM
み|数字の三
む|カタカナのム
め|目玉
も|あなたも、私も、の「も」
や|アルファベットのY
ゆ|お湯の湯気
よ|数字の4
ら|アルファベットのr
り|カタカナのリ
る|カタカナのル
れ|カタカナのレ
ろ|カタカナのロ
わ|アルファベットのW
を|「お」を身体側に引く
ん|カタカナのン
1|タイピングゲームで「中層」に到達すると解放されます
2|タイピングゲームで「薄暮層」に到達すると解放されます
3|タイピングゲームで「深海」に到達すると解放されます
4|タイピングゲームで「超深海」に到達すると解放されます
5|タイピングゲームで「？？？」に到達すると解放されます
が|「か」を利き手側に動かします
ぎ|「き」を利き手側に動かします
ぐ|「く」を利き手側に動かします
げ|「け」を利き手側に動かします
ご|「こ」を利き手側に動かします
ざ|「さ」を利き手側に動かします
じ|「し」を利き手側に動かします
ず|「す」を利き手側に動かします
ぜ|「せ」を利き手側に動かします
ぞ|「そ」を利き手側に動かします
だ|「た」を利き手側に動かします
ぢ|「ち」を利き手側に動かします
づ|「つ」を利き手側に動かします
で|「て」を利き手側に動かします
ど|「と」を利き手側に動かします
ば|「は」を利き手側に動かします
び|「ひ」を利き手側に動かします
ぶ|「ふ」を利き手側に動かします
べ|「へ」を利き手側に動かします
ぼ|「ほ」を利き手側に動かします
ぱ|「は」を真上に動かします
ぴ|「ひ」を真上に動かします
ぷ|「ふ」を真上に動かします
ぺ|「へ」を真上に動かします
ぽ|「ほ」を真上に動かします
ー|人差し指で伸ばし棒を縦に描く
ぁ|「あ」を身体側に引く
ぃ|「い」を身体側に引く
ぅ|「う」を身体側に引く
ぇ|「え」を身体側に引く
ぉ|「お」を身体側に引く
ゃ|「や」を身体側に引く
ゅ|「ゆ」を身体側に引く
ょ|「よ」を身体側に引く
っ|「つ」を身体側に引く
