林檎|りんご
蜜柑|みかん
苺|いちご
梨|なし
葡萄|ぶどう
西瓜|すいか
メロン|めろん
人参|にんじん
玉葱|たまねぎ
キャベツ|きゃべつ
大根|だいこん
トマト|とまと
茄子|なす
ピーマン|ぴーまん
胡瓜|きゅうり
南瓜|かぼちゃ
じゃがいも|じゃがいも
象|ぞう
麒麟|きりん
ライオン|らいおん
パンダ|ぱんだ
ペンギン|ぺんぎん
鰐|わに
亀|かめ
兎|うさぎ
鼠|ねずみ
蛙|かえる
おにぎり|おにぎり
カレー|かれー
ラーメン|らーめん
寿司|すし
うどん|うどん
蕎麦|そば
餃子|ぎょうざ
お好み焼き|おこのみやき
学校|がっこう
駅|えき
店|みせ
公園|こうえん
病院|びょういん
図書館|としょかん
銀行|ぎんこう
郵便|ゆうびん
食べる|たべる
飲む|のむ
寝る|ねる
起きる|おきる
歩く|あるく
走る|はしる
見る|みる
聞く|きく
話す|はなす
読む|よむ
書く|かく
買う|かう
売る|うる
作る|つくる
遊ぶ|あそぶ
笑う|わらう
泣く|なく
怒る|おこる
喜ぶ|よろこぶ
考える|かんがえる
覚える|おぼえる
忘れる|わすれる
よろしくね|よろしくね
おめでとう|おめでとう
カツオ|かつお
スマホ|すまほ
カメラ|かめら
写真|しゃしん
会社|かいしゃ
潜水|せんすい
砂浜|すなはま
お父さん|おとうさん
ありがとう|ありがとう
大丈夫|だいじょうぶ
面白い|おもしろい
おはよう|おはよう
川崎|かわさき
